(1/2)-(1/x)=(((x^2)-1)/(x))-((2x-1)/2),\[\frac{{{x^2} - 1}}{x} - \frac{{2x - 1}}{2} = \frac{1}{2} - \frac{1}{x}\]
(1/(x-1))-(1/(x+1))=(2/((x^2)-1)),\[\frac{1}{{x - 1}} - \frac{1}{{x + 1}} = \frac{2}{{{x^2} - 1}}\]
(1/(1+x))-((x^2)/(1+x))=(1-x),\[\frac{1}{{1 + x}} - \frac{{{x^2}}}{{1 + x}} = 1 - x\]
((1+(x^2))/(1-(x^2)))-(x/(1-x))=(1/(1+x)),\[\frac{{1 + {x^2}}}{{1 - {x^2}}} - \frac{x}{{1 - x}} = \frac{1}{{1 + x}}\]
(1/x)((x-1)^2)=(x-2+(1/x)),\[\frac{1}{x}{(x - 1)^2} = x - 2 + \frac{1}{x}\]
((x^2)-2x+1)/((x^2)-1)=(x-1)/(x+1),\[\frac{{{x^2} - 2x + 1}}{{{x^2} - 1}} = \frac{{x - 1}}{{x + 1}}\]
(((x^2)+(y^2))/((x^4)-(y^4))).((1/y)-(1/x))=(1/xy(x+y)),\[\frac{{{x^2} + {y^2}}}{{{x^4} - {y^4}}}.\left( {\frac{1}{y} - \frac{1}{x}} \right) = \frac{1}{{xy(x + y)}}\]
(x(x+1))-(y(y+1))=(x+1+y)(x-y),\[x(x + 1) - y(y + 1) = (x + 1 + y)(x - y)\]
sin2x=sin2x+sinx,\[\sin 2x = \sin 2x + \sin x\]
sin(x-pi)=-sinx,\[\sin (x - \pi ) =  - \sin x\]
(cscx/sinx)+(secx/cosx)=1,\[\frac{{\csc x}}{{\sin x}} + \frac{{\sec x}}{{\cos x}} = 1\]
(cos((pi/4)+x))=((sqrt2/2)cosx)+((sqrt2/2)sinx),\[\cos \left( {\frac{\pi }{4} + x} \right) = \frac{{\sqrt 2 }}{2}\cos x + \frac{{\sqrt 2 }}{2}\sin x\]
((cos^2)x)-((sin^2)x)=(1-2(sin^2)x),\[{\cos ^2}x - {\sin ^2}x = 1 - 2{\sin ^2}x\]
(-sin(-x))=sinx,\[ - \sin ( - x) = \sin x\]
((sinx+cosx)^2)=1,\[{(\sin x + \cos x)^2} = 1\]
(sin(x+pi))=sin(x-pi),\[sin(x + \pi ) = \sin (x - \pi )\]
((sec^2)x)(1-(cos^2)x)=(tan^2)x,\[({\sec ^2}x)(1 - {\cos ^2}x) = {\tan ^2}x\]
(((sin^2)x)+((cos^2)x))/tanx=cotx,\[\frac{{{{\sin }^2}x + {{\cos }^2}x}}{{\tan x}} = \cot x\]
(cosx)(secx-cosx)=((sin^2)x),\[(\cos x)(\sec x - \cos x) = {\sin ^2}x\]
(sinx)(cscx+sinx(sec^2)x)=((sec^2)x),\[(\sin x)(\csc x + \sin x{\sec ^2}x) = {\sec ^2}x\]
(cisx)+(sinxtanx)=(secx),\[\cos x + \sin x\tan x = \sec x\]
(secx)(cscx-cotxcosx)=(tanx),\[(\sec x)(\csc x - \cot x\cos x) = \tan x\]
(1/(1+(tan^2)x))+(1/(1+(cot^2)x))=1,\[\frac{1}{{1 + {{\tan }^2}x}} + \frac{1}{{1 + {{\cot }^2}x}} = 1\]
((sec^2)x-1)/((csc^2)x-1)=((tan^4)x),\[\frac{{{{\sec }^2}x - 1}}{{{{\csc }^2}x - 1}} = {\tan ^4}x\]
((sec^2)x)+((csc^2)x)=((sec^2)x(csc^2)x),\[{\sec ^2}x + {\csc ^2}x = {\sec ^2}x{\csc ^2}x\]
cscx-sinx=cosxcotx,\[\csc x - \sin x = \cos x\cot x\]
(tanx+sinx)(1-cosx)=((sin^2)xtanx),\[(\tan x + \sin x)(1 - \cos x) = {\sin ^2}x\tan x\]
(cotx-cosx)(cscx+1)=(cosx(cot^2)x),\[(\cot x - \cos x)(\csc x + 1) = \cos x{\cot ^2}x\]
(1-cosx)(cscx+cotx)=sinx,\[(1 - \cos x)(\csc x + \cot x) = \sin x\]
(secx+1)(cscx+cotx)=(sinx),\[(\sec x + 1)(\csc x + \cot x) = (\sin x)\]
(cosx)+(sinx/cotx)=((cotx+tanx)/cscx),\[\cos x + \frac{{\sin x}}{{\cot x}} = \frac{{\cot x + \tan x}}{{\csc x}}\]
(cosx/(1-sinx))+(1/(1+sinx))=2tanx,\[\frac{{\cos x}}{{1 - \sin x}} + \frac{1}{{1 + \sin x}} = 2\tan x\]
(1/(sect-1))+(1/(sect+1))=(2cottcsct),\[\frac{1}{{\sec t - 1}} + \frac{1}{{\sec t + 1}} = 2\cot t\csc t\]
((sin+cosx)^2)/sinx)=cscx+2cosx,\[\frac{{{{(\sin x + \cos x)}^2}}}{{\sin x}} = \csc x + 2\cos x\]
(cosx)((1+tanx)^2)=secx+2sinx,\[(\cos x){(1 + \tan x)^2} = \sec x + 2\sin x\]
tanx+cotx=secxcscx,\[\tan x + \cot x = \sec x\csc x\]
(sinx/(secx-1))-(sinx/(secx+1))=(2cosxcotx),\[\frac{{\sin x}}{{\sec x - 1}} - \frac{{\sin x}}{{\sec x + 1}} = 2\cos x\cot x\]
((1+secx)/tanx)+(tanx/(1+secx))=2cscx,\[\frac{{1 + \sec x}}{{\tan x}} + \frac{{\tan x}}{{1 + \sec x}} = 2\csc x\]
(cosx/(1+sinx))+((1+sinx)/cosx)=2secx,\[\frac{{\cos x}}{{1 + \sin x}} + \frac{{1 + \sin x}}{{\cos x}} = 2\sec x\]
(secx/(secx-1)+((secx+1)/((tan^2)x))=1,\[\frac{{\sec x}}{{\sec x - 1}} + \frac{{\sec x + 1}}{{{{\tan }^2}x}} = 1\]
(1/(1-sinx))=(cotx/(cotx-cosx)),\[\frac{1}{{1 - \sin x}} = \frac{{\cot x}}{{\cot x - \cos x}}\]
((secx-1)/(1-cosx))=secx,\[\frac{{\sec x - 1}}{{1 - \cos x}} = \sec x\]
((cscx-1)/cotx)+(cotx/(cscx+1))=(2cosx/(1+sinx)),\[\frac{{\csc x - 1}}{{\cot x}} + \frac{{\cot x}}{{\csc x + 1}} = \frac{{2\cos x}}{{1 + \sin x}}\]
((secx-1)/tanx)+(tanx(secx+1))=(2sinx/(1+cosx)),\[\frac{{\sec x - 1}}{{\tan x}} + \frac{{\tan x}}{{\sec x + 1}} = \frac{{2\sin x}}{{1 + \cos x}}\]
((1-cosx)/sinx)=(sinx/(1+cosx)),\[\frac{{1 - \cos x}}{{\sin x}} = \frac{{\sin x}}{{1 + \cos x}}\]
(tanx/(1+secx))=((secx-1)/tanx),\[\frac{{\tan x}}{{1 + \sec x}} = \frac{{\sec x - 1}}{{\tan x}}\]
((secx-tanx)/cosx)-(cosx/(secx+tanx))=(((sin^2)x)/(1+sinx)),\[\frac{{\sec x - \tan x}}{{\cos x}} - \frac{{\cos x}}{{\sec x + \tan x}} = \frac{{{{\sin }^2}x}}{{1 + \sin x}}\]
((cotx+tanx)^2)=((csc^2)x(sec^2)x),\[{(\cot x + \tan x)^2} = {\csc ^2}x{\sec ^2}x\]
(cosx/(secx-tanx))+(sinxcosx/(secx+tanx))=((cos^2)x+2sinx),\[\frac{{\cos x}}{{\sec x - \tan x}} + \frac{{\sin x\cos x}}{{\sec x + \tan x}} = {\cos ^2}x + 2\sin x\]
((secx-cosx)^2)=((tan^2)x)-((sin^2)x),\[{(\sec x - \cos x)^2} = {\tan ^2}x - {\sin ^2}x\]
(cosx/(1-tanx))+(sinx/(1+cotx))=(sinx+cosx),\[\frac{{\cos x}}{{1 - \tan x}} + \frac{{\sin x}}{{1 + \cot x}} = \sin x + \cos x\]
(((tan^2)x)/(1-cosx))=secx+((sec^2)x),\[\frac{{{{\tan }^2}x}}{{1 - \cos x}} = \sec x + {\sec ^2}x\]
((1+sinx)/(1-sinx))=((secx+tanx)^2),\[\frac{{1 + \sin x}}{{1 - \sin x}} = {(\sec x + \tan x)^2}\]
(secx+tanx)/(secx-tanx)=(1+2sinx+(sin^2)x)/((cos^2)x),\[\frac{{\sec x + \tan x}}{{\sec x - \tan x}} = \frac{{1 + 2\sin x + {{\sin }^2}x}}{{{{\cos }^2}x}}\]
((sinx+cscx)^2)+((cosx-secx)^2)=((sec^2)x(csc^2)x+1),\[{(\sin x + \csc x)^2} + {(\cos x - \sec x)^2} = {\sec ^2}x{\csc ^2}x + 1\]
((1+tanx)^2)+((t+cotx)^2)=((secx+cscx)^2),\[{(1 + \tan x)^2} + {(t + \cot x)^2} = {(\sec x + \csc x)^2}\]
(tan(x+(pi/4)))=((cosx+sinx)/(cosx-sinx)),\[\tan \left( {x + \frac{\pi }{4}} \right) = \frac{{\cos x + \sin x}}{{\cos x - \sin x}}\]
(tan(x-(pi/4)))=((sinx-cosx)/(cosx+sinx)),\[\tan \left( {x - \frac{\pi }{4}} \right) = \frac{{\sin x - \cos x}}{{\cos x + \sin x}}\]
(1/(1-tanx))-(1/(1+tanx))=tan2x,\[\frac{1}{{1 - \tan x}} - \frac{1}{{1 + \tan x}} = \tan 2x\]
tan3x=((3tanx-((tan^3)x)))/(1-3(tan^2)x)),\[\tan 3x = \frac{{3\tan x - {{\tan }^3}x}}{{1 - 3{{\tan }^2}x}}\]
(tan(x/2))+(cot(x/2))=2cscx,\[\tan \frac{x}{2} + \cot \frac{x}{2} = 2\csc x\]
cot2x=(((cot^2)x-1)/(2cotx)),\[\cot 2x = \frac{{{{\cot }^2}x - 1}}{{2\cot x}}\]
(cosx-sinx)(secx+cscx)=2cot2x,\[(\cos x - \sin x)(\sec x + \csc x) = 2\cot 2x\]
(2tan(x/2))/(1+(tan^2)(x/2))=sinx,\[\frac{{2\tan \left( {\frac{x}{2}} \right)}}{{1 + {{\tan }^2}\left( {\frac{x}{2}} \right)}} = \sin x\]
tan((x/2)+(pi/2))=secx+tanx,\[\tan \left( {\frac{x}{2} + \frac{\pi }{4}} \right) = \sec x + \tan x\]
cscx-2sinx=cscxcos2x,\[\csc x - 2\sin x = \csc x\cos 2x\]
(sin2x/(1-cos2x))=cotx,\[\frac{{\sin 2x}}{{1 - \cos 2x}} = \cot x\]
(1-cos2x)/(cos2x+1)=((tan^2)x),\[\frac{{1 - \cos 2x}}{{\cos 2x + 1}} = {\tan ^2}x\]
1-((tan^4)x)=((cos2x)/((cos^4)x)),\[1 - {\tan ^4}x = \frac{{\cos 2x}}{{{{\cos }^4}x}}\]
tanx+tany=(sin(x+y))/(cosxcosy),\[\tan x + \tan y = \frac{{\sin (x + y)}}{{\cos x\cos y}}\]
((sinx+cosx)^2)=1+sin2x,\[{(\sin x + \cos x)^2} = 1 + \sin 2x\]
(((cos^4)x)-((sin^4)x))=cos2x,\[{\cos ^4}x - {\sin ^4}x = \cos 2x\]
cotx-tanx=2cot2x,\[\cot x - \tan x = 2\cot 2x\]
cotx-tanx=2csc2x,\[\cot x - \tan x = 2\csc 2x\]
sin4x=(4sinx(cos^3)x)-(4(sin^2)xcosx),\[\sin 4x = 4\sin x{\cos ^3}x - 4{\sin ^3}x\cos x\]
cos4x=(8(cos^4)x)-(8(cos^2)x)+1,\[\cos 4x = 8{\cos ^4}x - 8{\cos ^2}x + 1\]
cot2x=(1/2)(cotx-(1/cotx)),\[\cot 2x = \frac{1}{2}\left( {\cot x - \frac{1}{{\cot x}}} \right)\]
tan(x/2)=plus/minus(sqrt((1-cosx)/(1+cosx))),\[\tan \frac{x}{2} =  \pm \sqrt {\frac{{1 - \cos x}}{{1 + \cos x}}} \]
(cos2x+((sin^4)x))/sin2x=(1/2)cotx(cos^2)x,\[\frac{{\cos 2x + {{\sin }^4}x}}{{\sin 2x}} = \frac{1}{2}\cot x{\cos ^2}x\]
sec2x=(((sec^2)x)/(1-(sec^2)x)),\[\sec 2x = \frac{{{{\sec }^2}x}}{{2 - {{\sec }^2}x}}\]
((csc^2)2x)=(((csc^4)x)/(4((csc^2)x)-1)),\[{\csc ^2}2x = \frac{{{{\csc }^4}x}}{{4({{\csc }^2}x - 1)}}\]
(cosx+sinx)/(cosx-sinx)=(1+sin2x)/(cos2x),\[\frac{{\cos x + \sin x}}{{\cos x - \sin x}} = \frac{{1 + \sin 2x}}{{\cos 2x}}\]
